title,artist,year,audioCue,coverUrl
Track 01,Artist 01,1970,Play item 01 from the private host playlist,
Track 02,Artist 02,1971,Play item 02 from the private host playlist,
Track 03,Artist 03,1972,Play item 03 from the private host playlist,
Track 04,Artist 04,1973,Play item 04 from the private host playlist,
Track 05,Artist 05,1974,Play item 05 from the private host playlist,
Track 06,Artist 06,1975,Play item 06 from the private host playlist,
Track 07,Artist 07,1976,Play item 07 from the private host playlist,
Track 08,Artist 08,1977,Play item 08 from the private host playlist,
Track 09,Artist 09,1978,Play item 09 from the private host playlist,
Track 10,Artist 10,1979,Play item 10 from the private host playlist,
Track 11,Artist 11,1980,Play item 11 from the private host playlist,
Track 12,Artist 12,1981,Play item 12 from the private host playlist,
Track 13,Artist 13,1982,Play item 13 from the private host playlist,
Track 14,Artist 14,1983,Play item 14 from the private host playlist,
Track 15,Artist 15,1984,Play item 15 from the private host playlist,
Track 16,Artist 16,1985,Play item 16 from the private host playlist,
Track 17,Artist 17,1986,Play item 17 from the private host playlist,
Track 18,Artist 18,1987,Play item 18 from the private host playlist,
Track 19,Artist 19,1988,Play item 19 from the private host playlist,
Track 20,Artist 20,1989,Play item 20 from the private host playlist,
Track 21,Artist 21,1990,Play item 21 from the private host playlist,
Track 22,Artist 22,1991,Play item 22 from the private host playlist,
Track 23,Artist 23,1992,Play item 23 from the private host playlist,
Track 24,Artist 24,1993,Play item 24 from the private host playlist,
Track 25,Artist 25,1994,Play item 25 from the private host playlist,
Track 26,Artist 26,1995,Play item 26 from the private host playlist,
Track 27,Artist 27,1996,Play item 27 from the private host playlist,
Track 28,Artist 28,1997,Play item 28 from the private host playlist,
Track 29,Artist 29,1998,Play item 29 from the private host playlist,
Track 30,Artist 30,1999,Play item 30 from the private host playlist,
Track 31,Artist 31,2000,Play item 31 from the private host playlist,
Track 32,Artist 32,2001,Play item 32 from the private host playlist,
Track 33,Artist 33,2002,Play item 33 from the private host playlist,
Track 34,Artist 34,2003,Play item 34 from the private host playlist,
Track 35,Artist 35,2004,Play item 35 from the private host playlist,
Track 36,Artist 36,2005,Play item 36 from the private host playlist,
Track 37,Artist 37,2006,Play item 37 from the private host playlist,
Track 38,Artist 38,2007,Play item 38 from the private host playlist,
Track 39,Artist 39,2008,Play item 39 from the private host playlist,
Track 40,Artist 40,2009,Play item 40 from the private host playlist,
Track 41,Artist 41,2010,Play item 41 from the private host playlist,
Track 42,Artist 42,2011,Play item 42 from the private host playlist,
Track 43,Artist 43,2012,Play item 43 from the private host playlist,
Track 44,Artist 44,2013,Play item 44 from the private host playlist,
Track 45,Artist 45,2014,Play item 45 from the private host playlist,
Track 46,Artist 46,2015,Play item 46 from the private host playlist,
Track 47,Artist 47,2016,Play item 47 from the private host playlist,
Track 48,Artist 48,2017,Play item 48 from the private host playlist,
Track 49,Artist 49,2018,Play item 49 from the private host playlist,
Track 50,Artist 50,2019,Play item 50 from the private host playlist,
